account_id,region_code,weighted_pipeline_usd,avg_commit_probability,high_risk_flags,account_name,segment,product_family,contract_value_usd,renewal_date,active_users,support_tickets,satisfaction_score,risk_score,recommended_action
ACC-1198,NA,177409.94,0.299,4,NA-Portfolio-199,enterprise,core-monitoring,228138.0,2027-03-28,693.0,21.0,75.27,94.3,Escalate commercial review and tighten close plan
ACC-1201,LA,262582.33999999997,0.48124999999999996,3,LA-Portfolio-202,enterprise,core-monitoring,433610.0,2027-02-12,701.0,35.0,87.25,78.6,Escalate commercial review and tighten close plan
ACC-1120,NA,389237.1,0.40875,3,NA-Portfolio-121,enterprise,core-monitoring,551068.0,2027-01-08,508.0,19.0,70.54,78.3,Escalate commercial review and tighten close plan
ACC-1117,LA,390074.57,0.496,3,LA-Portfolio-118,enterprise,core-monitoring,584920.0,2027-05-14,554.0,22.0,74.52,75.1,Escalate commercial review and tighten close plan
ACC-1106,ME,60136.63,0.266,3,ME-Portfolio-107,mid-market,automation-suite,127724.0,2027-03-29,246.0,9.0,84.4,74.7,Escalate commercial review and tighten close plan
ACC-1160,ME,39188.71,0.2806666666666667,3,ME-Portfolio-161,mid-market,automation-suite,115136.0,2027-01-21,157.0,3.0,74.41,74.0,Escalate commercial review and tighten close plan
ACC-1210,NA,229508.47999999998,0.5495,3,NA-Portfolio-211,enterprise,core-monitoring,606729.0,2026-06-07,670.0,22.0,71.3,73.9,Escalate commercial review and tighten close plan
ACC-1003,LA,368642.72,0.425,3,LA-Portfolio-004,enterprise,core-monitoring,460370.0,2026-08-12,428.0,17.0,88.16,71.3,Escalate commercial review and tighten close plan
ACC-1000,NA,252149.66999999998,0.485,3,NA-Portfolio-001,enterprise,core-monitoring,483999.0,2027-02-18,426.0,17.0,79.98,71.3,Escalate commercial review and tighten close plan
ACC-1171,LA,275156.82,0.32975,2,LA-Portfolio-172,enterprise,core-monitoring,475928.0,2027-05-21,712.0,22.0,69.82,71.2,Escalate commercial review and tighten close plan
ACC-1031,EU,108864.98999999999,0.38533333333333336,3,EU-Portfolio-032,mid-market,automation-suite,215841.0,2027-03-19,229.0,5.0,78.63,69.6,Escalate commercial review and tighten close plan
ACC-1183,LA,129346.04000000001,0.44875,2,LA-Portfolio-184,enterprise,core-monitoring,181648.0,2027-05-02,712.0,32.0,77.31,69.3,Escalate commercial review and tighten close plan
ACC-1237,LA,233450.88,0.44925,2,LA-Portfolio-238,enterprise,core-monitoring,295573.0,2026-10-01,675.0,31.0,78.33,68.5,Escalate commercial review and tighten close plan
ACC-1015,LA,173027.21000000002,0.38775,2,LA-Portfolio-016,enterprise,core-monitoring,283393.0,2027-02-05,660.0,30.0,87.3,67.7,Escalate commercial review and tighten close plan
ACC-1158,AP,25885.170000000002,0.40399999999999997,3,AP-Portfolio-159,commercial,security-analytics,59317.0,2027-04-10,86.0,1.0,76.04,67.5,Escalate commercial review and tighten close plan
ACC-1156,NA,127187.8,0.47775,3,NA-Portfolio-157,enterprise,core-monitoring,199994.0,2026-08-15,563.0,9.0,83.16,66.6,Escalate commercial review and tighten close plan
ACC-1207,LA,296552.0,0.43325,2,LA-Portfolio-208,enterprise,core-monitoring,415019.0,2027-03-20,560.0,21.0,69.85,66.5,Escalate commercial review and tighten close plan
ACC-1194,AP,14006.529999999999,0.33066666666666666,3,AP-Portfolio-195,commercial,security-analytics,31148.0,2026-05-21,73.0,2.0,91.75,66.3,Escalate commercial review and tighten close plan
ACC-1140,AP,12907.07,0.3983333333333334,3,AP-Portfolio-141,commercial,security-analytics,31059.0,2026-11-26,62.0,2.0,84.14,65.9,Escalate commercial review and tighten close plan
ACC-1159,LA,241564.22,0.4,2,LA-Portfolio-160,enterprise,core-monitoring,453360.0,2026-08-01,577.0,19.0,79.48,63.9,Escalate commercial review and tighten close plan
ACC-1163,EU,98249.04999999999,0.4706666666666666,3,EU-Portfolio-164,mid-market,automation-suite,224158.0,2027-05-07,175.0,5.0,89.37,62.9,Escalate commercial review and tighten close plan
